timestamp	seconds	frame_number	source_master_sha256	reasons	filename
00:01:20.580	80.580	2417	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	WebVTT cue boundary	frame-052-at-80.580s.jpg
00:01:22.159	82.159	2465	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	WebVTT cue boundary	frame-053-at-82.159s.jpg
00:01:23.700	83.700	2511	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	84.0s defect bracket before	frame-054-at-83.700s.jpg
00:01:24.000	84.000	2520	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	84.0s exact defect sample	frame-055-at-84.000s.jpg
00:01:24.300	84.300	2529	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	84.0s defect bracket after	frame-056-at-84.300s.jpg
00:01:25.000	85.000	2550	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	five-second cadence	frame-057-at-85.000s.jpg
00:01:26.234	86.234	2587	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	transition 6 before	frame-058-at-86.234s.jpg
00:01:26.434	86.434	2593	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	WebVTT cue boundary; transition 6 exact	frame-059-at-86.434s.jpg
00:01:26.634	86.634	2599	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	transition 6 after	frame-060-at-86.634s.jpg
00:01:30.000	90.000	2700	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	five-second cadence	frame-061-at-90.000s.jpg
00:01:30.376	90.376	2711	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	final hold start	frame-062-at-90.376s.jpg
00:01:31.376	91.376	2741	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	final hold midpoint	frame-063-at-91.376s.jpg
00:01:32.200	92.200	2766	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	prior outro defect exact	frame-064-at-92.200s.jpg
00:01:32.366	92.366	2771	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	final frame sample	frame-065-at-92.366s.jpg
