timestamp	seconds	frame_number	source_master_sha256	reason	filename
00:01:25.000	85.000000	2550	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-073-f2550-at-00-01-25-000.jpg
00:01:25.520	85.520000	2566	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-074-f2566-at-00-01-25-520.jpg
00:01:28.580	88.580000	2657	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-075-f2657-at-00-01-28-580.jpg
00:01:30.000	90.000000	2700	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-076-f2700-at-00-01-30-000.jpg
00:01:31.000	91.000000	2730	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-077-f2730-at-00-01-31-000.jpg
00:01:33.733	93.733333	2812	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	pre-transition bracket	decoded-frames/frame-078-f2812-at-00-01-33-733.jpg
00:01:33.735	93.735000	2812	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	required defect pre-bracket	decoded-frames/frame-079-f2812-at-00-01-33-735.jpg
00:01:33.933	93.933333	2818	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	scene transition	decoded-frames/frame-080-f2818-at-00-01-33-933.jpg
00:01:33.935	93.935000	2818	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary; required exact defect timestamp	decoded-frames/frame-081-f2818-at-00-01-33-935.jpg
00:01:34.133	94.133333	2824	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	post-transition bracket	decoded-frames/frame-082-f2824-at-00-01-34-133.jpg
00:01:34.135	94.135000	2824	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	required defect post-bracket	decoded-frames/frame-083-f2824-at-00-01-34-135.jpg
00:01:35.000	95.000000	2850	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-084-f2850-at-00-01-35-000.jpg
00:01:35.774	95.774000	2873	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-085-f2873-at-00-01-35-774.jpg
00:01:38.920	98.920000	2968	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-086-f2968-at-00-01-38-920.jpg
00:01:40.000	100.000000	3000	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-087-f3000-at-00-01-40-000.jpg
00:01:42.920	102.920000	3088	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-088-f3088-at-00-01-42-920.jpg
00:01:44.120	104.120000	3124	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-089-f3124-at-00-01-44-120.jpg
00:01:45.000	105.000000	3150	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-090-f3150-at-00-01-45-000.jpg
00:01:45.572	105.572000	3167	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-091-f3167-at-00-01-45-572.jpg
00:01:45.800	105.800000	3174	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	pre-transition bracket	decoded-frames/frame-092-f3174-at-00-01-45-800.jpg
00:01:46.000	106.000000	3180	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	scene transition	decoded-frames/frame-093-f3180-at-00-01-46-000.jpg
00:01:46.200	106.200000	3186	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	post-transition bracket	decoded-frames/frame-094-f3186-at-00-01-46-200.jpg
00:01:46.720	106.720000	3202	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	required defect pre-bracket	decoded-frames/frame-095-f3202-at-00-01-46-720.jpg
00:01:46.920	106.920000	3208	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary; required exact defect timestamp	decoded-frames/frame-096-f3208-at-00-01-46-920.jpg
00:01:47.120	107.120000	3214	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	required defect post-bracket	decoded-frames/frame-097-f3214-at-00-01-47-120.jpg
00:01:50.000	110.000000	3300	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	final hold start; five-second cadence	decoded-frames/frame-098-f3300-at-00-01-50-000.jpg
00:01:51.000	111.000000	3330	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	final hold midpoint	decoded-frames/frame-099-f3330-at-00-01-51-000.jpg
00:01:51.967	111.966667	3359	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	final frame	decoded-frames/frame-100-f3359-at-00-01-51-967.jpg
